松树	树木
小狗	狗
路易威登	奢侈品
香奈尔	奢侈品
平板电脑	pad
厦门	城市
鼓浪屿	目的地
丽江	城市
味道	美食
晚上	夜晚
小店	购物
阳光	太阳
一个人	单身
好吃	美食
泸沽湖	湖泊
玉龙雪山	雪山
早上	早晨
岛上	岛
闽南	地区
名不虚传	名副其实
台湾	地区
景色	风景
厦门大学	大学
小曲	音乐
中国	国家
丽江古城	古城
日光岩	岩石
束河	古镇
海边	海滨
南普陀寺	寺庙
清晨	早晨
小伙伴	结伴
吃饭	美食
青年	青少年
夕阳	日落
小清新	清新
打车	出租车
大学生	学生
姑娘	女生
海风	海洋
湖边	湖泊
石室禅院	寺庙
同学	学生
晚饭	晚餐
午饭	午餐
鱿鱼	游鱼
早点	早餐
宾馆	酒店
大研古镇	古镇
芙蓉隧道	隧道
钢琴博物馆	博物馆
行走	步行
胡里山炮台	炮台
湖水	湖
花生	小吃
划船	游船
今晚	夜晚
蓝月谷	谷
老公	夫妻
里格半岛	半岛
路边	道路
男人	男生
女儿	家庭
晒太阳	太阳
山顶	山
山上	山
束河古镇	古镇
小巷	小道
学生证	学生
一大早	早晨
张三疯	名人
照相	拍照
半价	价格
北京	城市
餐馆	饭店
大榕树	树木
大水车	水车
放生池	放生
海景	海洋
海浪	海洋
海上	海洋
海水	海洋
虎跳峡	峡谷
轮渡码头	码头
民间	民俗
女人	女生
牌子	品牌
平安	祈福
虔诚	信仰
四方街	老街
寺院	寺庙
馅饼	茶点
学院	学校
沿海	海岸
夜色	夜晚
彝族	少数民族
冰激凌	冰淇淋
八卦楼	文化建筑
爸爸	家庭
白城沙滩	沙滩
壁画	艺术
陈罐西式茶货铺	奶茶
晨光	早晨
大理	城市
单骑	骑车
电瓶车	电驴
风琴博物馆	博物馆
芙蓉湖	湖
孤单	孤独
海螺	海鲜
黑龙潭	潭
黑龙潭公园	潭
婚纱照	摄影
建筑物	建筑
教育	学校
鲁迅纪念馆	纪念馆
旅行团	旅游团
旅游区	旅游
妹妹	女生
女神	美女
偶遇	遇见
爬山	登山
排骨	猪肉
品茶	喝茶
苹果	水果
婆婆	家庭
普陀寺	寺庙
情人谷	谷
上海	城市
深圳	城市
菽庄花园	花园
台湾民俗村	民俗
汤包	面食
媳妇	夫妻
相机	拍照
香火	寺庙
消费	购物
小姐	女士
校门	学校
校园	学校
爷爷	家庭
印象丽江	演出
流星雨	星空
星星	星空
赵小姐	名人
女孩	女生
小姑娘	女生
胸部	美女
基友	男生
好基友	男生
猫咪	猫
喵星人	猫
海底世界	海洋馆
海洋公园	海洋馆
水族馆	海洋馆
鱼丸	小吃
鲨鱼丸	小吃
摩梭族	少数民族
摩挲	少数民族
拉市海	湖
纳西	少数民族
昆明	城市
歌声	唱歌
狮子山	山
阿姨	女士
明代	朝代
宁静	安静
清澈	干净
情人	情侣
云南省	省份
白沙壁画	古代壁画
大落水村	村子
大研古城	古城
风花雪月	风月
观音阁	观音
观音寺	观音
观音峡	峡谷
广东省	省份
红豆	豆子
黄瓜	水果
静静的	安静
客运站	汽车站
情人树	爱情
小桥流水	小桥
邂逅	遇见
夜幕	夜晚
云杉坪索道	索道
走婚桥	小桥
纳西印象	演出
丽江印象	演出
印象刘三姐	演出
青年旅舍	青年旅舍
旅社	旅行社
罗曼蒂克	浪漫
三明治	面包
夜总会	夜店
tuktuk	突突车
篝火晚会	晚会
石板路	古道
金沙遗址博物馆	博物馆
四川大学	大学
传奇变脸秀	戏剧
川剧	戏剧
宽窄巷子	老街
都江堰	水利工程
青城山	山
文殊院	寺庙
熊猫	哺乳动物
杜甫草堂	故居
杜甫	名人
龙泉	城市
人民公园	公园
三星堆	景点
武侯祠	祠堂
春熙路	商业街
伏龙观	道教
广东会馆	博物馆
欢乐谷	游乐场
客家	族群
客家人	族群
彭州	城市
天台山	山
西岭雪山	雪山
雅安市	城市
银杏	树木
诸葛亮	名人
蹊径	小道
遗迹	古迹
白鹿镇	古镇
安仁古镇	古镇
平乐古镇	古镇
悦来古镇	古镇
怀远古镇	古镇
丞相祠堂	祠堂
中华艺术宫	博物馆
清明上河图	艺术
白鹿上书院	图书馆
香炉寺	寺庙
芙蓉国粹	戏剧
蜀风雅韵	戏剧
芙蓉古镇	古镇
彩虹桥	小桥
藏经楼	图书馆
巷子	小道
水堤	水坝
南方	方位
成都	城市
诗人	名人
伤心	悲伤
悲催	悲伤
街区	街区
狼牙	牙齿
象牙	牙齿
四合院	大院
烈士	英雄
中国馆	博物馆
万佛楼	佛教
河边	河
东京	城市
日本	国家
国立博物馆	博物馆
上野公园	公园
歌舞伎町	商业街
樱花	花草
明治神宫	宫殿
浅草寺	寺庙
东京塔	塔
新宿御苑	公园
红灯区	商业街
东京大学	大学
大阪城天守阁	宫殿
花园神社	神社
靖国神社	神社
女人街	商业街
人形烧	小吃
涩谷	街区
吉隆坡	城市
马来西亚	国家
苏丹	国家
英国	国家
英雄纪念碑	纪念碑
LRT	轻轨
商城	商场
唐人街	街区
国家天文馆	博物馆
天文馆	博物馆
印度	国家
纺织博物馆	博物馆
独立广场	广场
国家博物馆	博物馆
纸币	货币
马币	货币
硬币	货币
泰铢	货币
人民币	货币
美元	货币
欧元	货币
日元	货币
英镑	货币
双子塔	摩天大楼
双塔	塔
华人	族群
茨厂街	街区
亚洲航空	航空公司
纽约	城市
伦敦	城市
曼哈顿	目的地
Hermitage	修道院
MOMA	英文名
圣彼得堡	城市
优衣库	品牌
艾尔米塔什博物馆	博物馆
版画	绘画
大都会艺术博物馆	博物馆
大英博物馆	博物馆
冬宫	宫殿
俄罗斯	国家
华尔街	街道
列宁格勒	城市
纽约现代艺术博物馆	博物馆
中央公园	公园
百老汇	景点
地铁站	地铁
哥伦布广场	广场
华盛顿	城市
第五大道	商业街
纽约大学	大学
藏品	博物馆
艳女	美女
布鲁克林大桥	大桥
纽约公共图书馆	图书馆
时代广场	广场
洛克菲勒中心	摩天大楼
帝国大厦	摩天大楼
巴黎歌剧院	歌剧院
高楼	大楼
西点军校	军校
红树林	树林
kawakawa红树林	树林
东姑阿都拉曼国家公园	国家公园
神山	山
小吃夜市	集市
市集	集市
兑换	货币
鸡汤	汤水
榴莲	热带水果
落日	日落
美人鱼	神兽
萤火虫	飞虫
蚊子	飞虫
蟑螂	爬虫
苍蝇	飞虫
独角兽	神兽
船票	船票
零公里	地理信息
香港	城市
港币	货币
尖沙咀	目的地
星光大道	大道
中环	公路
巴士	巴士
九龙	街区
维多利亚港	港口
澳门	自治区
大陆	地区
港人	族群
皇岗口岸	港口
南丫岛	岛屿
天坛大佛	佛像
维多利亚	名人
西贡	地区
香港海洋公园	海洋馆
香港迪士尼乐园	游乐场
庙街	步行街
牛肉丸	小吃
购物中心	商场
天星码头	码头
太空馆	博物馆
航空馆	博物馆
剧场	剧院
观景台	露台
西米露	露饮
杨枝甘露	露饮
萝卜糕	糕点
世博会	博览会
警署	公安局
市政大楼	市政厅
纪念币	货币
拉萨	城市
西藏	自治区
布达拉宫	宫殿
大昭寺	寺庙
藏传佛教	藏教
藏族	少数民族
藏传	地区
色拉寺	寺庙
八角街	街道
八廓街	街道
布达拉宫广场	广场
藏民	少数民族
藏式	少数民族
达赖	名人
佛像	佛像
解放纪念碑	纪念碑
拉萨市	城市
玛吉阿米	名人
纳木错	湖
转经筒	宗教
宗角禄康公园	公园
藏语	少数民族
朝圣	朝拜
跪拜	朝拜
拉萨河	河
龙王潭	潭
牦牛	哺乳动物
米拉山	山
尼泊尔	国家
念青唐古拉山	山
松赞干布	名人
酥油茶	茶点
天葬	祭祀
土豆	美食
西藏博物馆	博物馆
仙足岛	岛
仙足岛假日酒店	酒店
信徒	信仰
哲蚌寺	寺庙
陵墓	陵墓
溜达	散步
漫步	散步
拍摄	拍照
本地人	当地人
俯瞰	游览
感受	情绪
哥哥	家庭
逛逛	散步
合影	拍照
金顶	顶上
合影留念	留念
楼梯	阶梯
台阶	阶梯
路况	道路
萝卜	蔬菜
胡萝卜	蔬菜
惬意	美好
包车	租车
世界	范围
全球	范围
全国	范围
市区	位置
舒服	美好
酥油	食用油
汽油	燃油
柴油	燃油
岁月	时光
听说	听闻
听见	听闻
武警	警察
修建	建设
扎西德勒	祝福
最大	高大
最高	高大
买票	票务
甜茶	奶茶
辩经	传教
佛学院	佛教
红墙	墙
房间	酒店
马累	城市
